TransactionID,CustomerID,Customer name,Product name,catogory,ProductID,TransactionDate,Quantity,TotalValue,Price,Region
T00001,C0199,Andrea Jenkins,ComfortLiving Bluetooth Speaker,Electronics,P067,8/25/2024 12:38,1,300.68,300.68,Europe
T00112,C0146,Brittany Harvey,ComfortLiving Bluetooth Speaker,Electronics,P067,5/27/2024 22:23,1,300.68,300.68,Asia
T00166,C0127,Kathryn Stevens,ComfortLiving Bluetooth Speaker,Electronics,P067,4/25/2024 7:38,1,300.68,300.68,Europe
T00272,C0087,Travis Campbell,ComfortLiving Bluetooth Speaker,Electronics,P067,3/26/2024 22:55,2,601.36,300.68,South America
T00363,C0070,Timothy Perez,ComfortLiving Bluetooth Speaker,Electronics,P067,3/21/2024 15:10,3,902.04,300.68,Europe
T00442,C0188,Anna Ball,ComfortLiving Bluetooth Speaker,Electronics,P067,12/26/2024 14:40,1,300.68,300.68,South America
T00490,C0195,Jeremy Mclaughlin,ComfortLiving Bluetooth Speaker,Electronics,P067,11/24/2024 11:49,3,902.04,300.68,South America
T00536,C0008,David Li,ComfortLiving Bluetooth Speaker,Electronics,P067,9/22/2024 6:13,1,300.68,300.68,North America
T00564,C0157,Miguel Wong,ComfortLiving Bluetooth Speaker,Electronics,P067,12-07-2024 17:57,3,902.04,300.68,North America
T00631,C0130,Robert Jones,ComfortLiving Bluetooth Speaker,Electronics,P067,5/14/2024 23:14,2,601.36,300.68,South America
T00727,C0051,Nicholas Ellis,ComfortLiving Bluetooth Speaker,Electronics,P067,1/20/2024 4:52,3,902.04,300.68,Europe
T00729,C0075,Misty Higgins,ComfortLiving Bluetooth Speaker,Electronics,P067,10-07-2024 06:38,2,601.36,300.68,Europe
T00797,C0155,Michelle Brown,ComfortLiving Bluetooth Speaker,Electronics,P067,10-04-2024 20:42,2,601.36,300.68,South America
T00002,C0092,Jacqueline Zamora,HomeSense T-Shirt,Clothing,P034,12/16/2024 3:31,2,434.1,217.05,Asia
T00063,C0088,Carlos Murray,HomeSense T-Shirt,Clothing,P034,6/19/2024 7:16,2,434.1,217.05,Asia
T00093,C0109,Abigail Jones,HomeSense T-Shirt,Clothing,P034,08-11-2024 04:10,4,868.2,217.05,North America
T00127,C0041,Lindsey Deleon,HomeSense T-Shirt,Clothing,P034,06-03-2024 21:07,4,868.2,217.05,Europe
T00270,C0101,Kelsey Roberts,HomeSense T-Shirt,Clothing,P034,11-07-2024 02:48,3,651.15,217.05,Asia
T00358,C0154,Robert Sharp,HomeSense T-Shirt,Clothing,P034,04-08-2024 20:47,1,217.05,217.05,North America
T00518,C0200,Kelly Cross,HomeSense T-Shirt,Clothing,P034,12-11-2024 03:05,4,868.2,217.05,Asia
T00546,C0049,Jason Yates,HomeSense T-Shirt,Clothing,P034,8/30/2024 6:42,1,217.05,217.05,North America
